node,algorithm,operation,message_size,time_ms,energy_joule
B,AES,encrypt,IMAGE,8192,0.058999983593821526,0.00029499991796910763
A,AES,decrypt,IMAGE,8224,0.05690002581104636,0.0002845001290552318
B,AES,encrypt,IMAGE,8192,0.051099981646984816,0.0002554999082349241
A,AES,decrypt,IMAGE,8224,0.053099996875971556,0.0002654999843798578
B,AES,encrypt,IMAGE,8192,0.048600020818412304,0.00024300010409206152
A,AES,decrypt,IMAGE,8224,0.09240000508725643,0.00046200002543628216
A,AES,decrypt,IMAGE,8224,0.07180002285167575,0.00035900011425837874
B,AES,encrypt,IMAGE,8192,0.06469996878877282,0.0003234998439438641
B,AES,encrypt,IMAGE,8192,0.04770001396536827,0.00023850006982684135
A,AES,decrypt,IMAGE,8224,0.05909998435527086,0.0002954999217763543
B,AES,encrypt,IMAGE,7703,0.05400000372901559,0.00027000001864507794
A,AES,decrypt,IMAGE,8224,0.053800002206116915,0.0002690000110305846
A,AES,decrypt,IMAGE,8224,0.055800017435103655,0.0002790000871755183
A,AES,decrypt,IMAGE,8224,0.056800025049597025,0.0002840001252479851
A,AES,decrypt,IMAGE,8224,0.07800001185387373,0.00039000005926936865
A,AES,decrypt,IMAGE,8224,0.08600001456215978,0.0004300000728107989
A,AES,decrypt,IMAGE,7728,0.08520000847056508,0.0004260000423528254
B,AES,encrypt,TEXT,2,36.8711999617517,0.1843559998087585
A,AES,decrypt,TEXT,32,4.039199964608997,0.020195999823044986
A,AES,encrypt,TEXT,3,0.24700001813471317,0.0012350000906735659
B,AES,decrypt,TEXT,32,0.15849998453631997,0.0007924999226815999
B,AES,encrypt,IMAGE,8192,0.11870003072544932,0.0005935001536272466
B,AES,encrypt,IMAGE,8192,0.07830001413822174,0.0003915000706911087
A,AES,decrypt,IMAGE,8224,0.10120001388713717,0.0005060000694356859
A,AES,decrypt,IMAGE,8224,0.0706000137142837,0.0003530000685714185

B,AES,encrypt,IMAGE,8192,0.05630002124235034,0.0002815001062117517

B,AES,encrypt,IMAGE,8192,0.05119998240843415,0.00025599991204217076
A,AES,decrypt,IMAGE,8224,0.051099981646984816,0.0002554999082349241
A,AES,decrypt,IMAGE,8224,0.05709996912628412,0.0002854998456314206

A,AES,decrypt,IMAGE,8224,0.054800009820610285,0.0002740000491030514
B,AES,encrypt,IMAGE,8192,0.04569999873638153,0.00022849999368190765
A,AES,decrypt,IMAGE,8224,0.05400000372901559,0.00027000001864507794
B,AES,encrypt,IMAGE,8192,0.049099966417998075,0.0002454998320899904
A,AES,decrypt,IMAGE,8224,0.05169998621568084,0.0002584999310784042

A,AES,decrypt,IMAGE,8224,0.06440002471208572,0.0003220001235604286

B,AES,encrypt,IMAGE,8192,0.04910002462565899,0.00024550012312829494
A,AES,decrypt,IMAGE,8224,0.0496999709866941,0.0002484998549334705
A,AES,decrypt,IMAGE,8224,0.05089998012408614,0.0002544999006204307
A,AES,decrypt,IMAGE,8224,0.05490001058205962,0.0002745000529102981
B,AES,encrypt,IMAGE,8192,0.044899992644786835,0.00022449996322393417
A,AES,decrypt,IMAGE,8224,0.05019997479394078,0.0002509998739697039

A,AES,decrypt,IMAGE,8224,0.05030003376305103,0.00025150016881525517
B,AES,encrypt,IMAGE,8192,0.048200017772614956,0.00024100008886307478
A,AES,decrypt,IMAGE,8224,0.05119998240843415,0.00025599991204217076
A,AES,decrypt,IMAGE,8224,0.053099996875971556,0.0002654999843798578
B,AES,encrypt,IMAGE,8192,0.04800001624971628,0.0002400000812485814

B,AES,encrypt,IMAGE,8192,0.04869996337220073,0.00024349981686100364
A,AES,decrypt,IMAGE,8224,0.054299947805702686,0.00027149973902851343
B,AES,encrypt,IMAGE,8192,0.04610000178217888,0.0002305000089108944
A,AES,decrypt,IMAGE,8224,0.05549995694309473,0.00027749978471547365
B,AES,encrypt,IMAGE,8192,0.045199994929134846,0.00022599997464567423
